file_path,violation_type,severity,vendor_alternative,replacement_strategy,complexity_score,dependencies
scripts/setup-postgresql.sh.backup,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.67,npm
scripts/vendor_mcp_test.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.76,
scripts/audit_and_cleanup_loose_files.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.04,
scripts/markov-binomial-analysis.py,python_utilities,high,click,migrate_to_cli_frameworks,6.38,"json, matplotlib, networkx, pathlib, numpy"
scripts/network-proxy-setup.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.34,
scripts/vendor_compliance_audit.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.26,
scripts/init_mcp_servers.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,6.52,"sys, json, subprocess, pathlib, requests"
scripts/fea_visualize.py,python_utilities,high,click,migrate_to_cli_frameworks,4.74,"matplotlib, numpy, mpl_toolkits"
scripts/check-vendor-compliance.py,python_utilities,high,click,migrate_to_cli_frameworks,5.06,"typing, json, re, pathlib, logging"
scripts/install_development_tools.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,8.72,"npm, npm, curl, curl, curl"
scripts/tool-validation.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.96,
scripts/cli-security-framework.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.5,
scripts/fea_solver.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,4.94,"json, mpl_toolkits, time, numpy, matplotlib"
scripts/extended-mcp-ecosystem.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.76,
scripts/setup_mcp_env.sh,shell_scripts,low,npm scripts,migrate_to_vendor_task_runners,1.4,
scripts/agi_integration_framework.py,python_utilities,high,click,migrate_to_cli_frameworks,6.08,"sys, urllib, tempfile, tarfile, json"
scripts/deep_infinitesimal_gap_analysis.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.54,
scripts/research_feasibility.py,python_utilities,high,click,migrate_to_cli_frameworks,5.58,"sys, json, subprocess, pathlib, importlib"
scripts/fix_cursor_ide.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.87,
scripts/fea_gap_analysis_debug.py,python_utilities,high,click,migrate_to_cli_frameworks,6.68,"sys, typing, urllib, dataclasses, json"
scripts/comprehensive-cleanup-audit.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.5,
scripts/finite-element-analysis.py,python_utilities,high,click,migrate_to_cli_frameworks,6.98,"typing, dataclasses, json, math, scipy"
scripts/loose_files_audit_finite_element_analysis.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.76,
scripts/start_mcp_servers.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.48,
scripts/comprehensive_debugging_system.py,python_utilities,critical,click,migrate_to_cli_frameworks,7.36,"sys, typing, platform, urllib, threading"
scripts/java-workspace-setup.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.94,
scripts/enforce_cursor_rules.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.12,
scripts/fea-integration-pipeline.py,python_utilities,critical,click,migrate_to_cli_frameworks,10.0,"typing, json, datetime, pathlib, numpy"
scripts/mvnw,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.96,
scripts/start-mcp-ecosystem.sh.backup,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,9.36,
scripts/fix_cursor_mcp.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.6,
scripts/ultimate-integration-orchestrator.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.2,
scripts/start_fea_environment.py,python_utilities,high,click,migrate_to_cli_frameworks,6.88,"sys, json, argparse, subprocess, pathlib"
scripts/debug_simple.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,9.22,"curl, git, git, git"
scripts/database_stack_setup.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.44,
scripts/setup-mcp-servers.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.16,"yarn, git, docker"
scripts/setup-databases.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,7.0,"curl, npm"
scripts/generate-pixi-config.py,python_utilities,high,click,migrate_to_cli_frameworks,6.05,"typing, json, pathlib, sys"
scripts/database_stack_setup.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.44,
scripts/comprehensive-system-fix.sh.backup,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.52,
scripts/setup_polyglot_integration.sh.backup,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.16,
scripts/research_feasibility.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,5.6,"sys, json, subprocess, pathlib, importlib"
scripts/gibson-cli-integration.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.29,
scripts/database-integration-setup.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.36,npm
scripts/validate-environments.sh.backup,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.8,
scripts/complete_pixi_rebuild.py,python_utilities,critical,click,migrate_to_cli_frameworks,7.52,"sys, json, subprocess, pathlib, datetime"
scripts/finite_element_analysis.py,python_utilities,high,click,migrate_to_cli_frameworks,6.52,"typing, sys, json, yaml, datetime"
scripts/comprehensive_unit_tests.py,python_utilities,high,click,migrate_to_cli_frameworks,6.78,"sys, tempfile, json, subprocess, shutil"
scripts/ultimate-fix-everything.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.54,
scripts/automated_remediation.py,python_utilities,high,click,migrate_to_cli_frameworks,6.24,"concurrent, sys, typing, threading, json"
scripts/agi/agi-orchestrator.py,python_utilities,high,click,migrate_to_cli_frameworks,5.76,"typing, dataclasses, json, asyncio, os"
scripts/analysis/numerical-methods-audit.py,python_utilities,critical,click,migrate_to_cli_frameworks,8.82,"sys, json, math, subprocess, pathlib"
scripts/analysis/analyze_tool_availability.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,5.16,"json, subprocess, pathlib, time, logging"
scripts/analysis/comprehensive_gap_analysis.py.backup,python_utilities,critical,click,migrate_to_cli_frameworks,7.68,"sys, typing, tempfile, dataclasses, json"
scripts/analysis/finite-element-sphere-analysis.py,python_utilities,high,click,migrate_to_cli_frameworks,6.32,"sys, typing, json, math, scipy"
scripts/analysis/debug-deployment-issues.py,python_utilities,high,click,migrate_to_cli_frameworks,6.72,"json, subprocess, pathlib, datetime, os"
scripts/analysis/comprehensive-tool-audit.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.74,docker
scripts/analysis/audit_loose_files_fixed.py,python_utilities,high,click,migrate_to_cli_frameworks,6.76,"typing, json, pathlib, time, os"
scripts/analysis/audit_loose_files.py,python_utilities,high,click,migrate_to_cli_frameworks,4.86,"typing, json, pathlib, time, os"
scripts/analysis/infinitesimal_gap_analysis.py.backup,python_utilities,critical,click,migrate_to_cli_frameworks,8.2,"sys, typing, platform, dataclasses, psutil"
scripts/analysis/comprehensive-tool-audit.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.78,docker
scripts/analysis/binomial-edge-detection.py,python_utilities,critical,click,migrate_to_cli_frameworks,8.84,"typing, dataclasses, json, argparse, math"
scripts/analysis/comprehensive_gap_analysis.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.74,
scripts/analysis/binomial-edge-case-detection.py,python_utilities,critical,click,migrate_to_cli_frameworks,8.96,"sys, typing, dataclasses, json, argparse"
scripts/analysis/finite-element-gap-analysis.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.32,"node, git, git, docker"
scripts/analysis/loose_files_audit_finite_element_analysis.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.76,
scripts/analysis/comprehensive_system_diagnostic.py,python_utilities,high,click,migrate_to_cli_frameworks,6.98,"sys, typing, socket, psutil, json"
scripts/analysis/comprehensive_system_diagnostic.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,7.0,"sys, typing, socket, psutil, json"
scripts/analysis/comprehensive-hardcoded-paths-audit.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.42,
scripts/analysis/audit_loose_files_fixed.py.backup,python_utilities,critical,click,migrate_to_cli_frameworks,7.26,"typing, json, pathlib, time, os"
scripts/analysis/analyze_tool_availability.py,python_utilities,high,click,migrate_to_cli_frameworks,5.16,"json, subprocess, pathlib, time, logging"
scripts/analysis/markov-chain-analysis.py,python_utilities,critical,click,migrate_to_cli_frameworks,7.98,"typing, dataclasses, json, argparse, math"
scripts/analysis/finite-element-gap-analysis.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.32,"node, git, git, docker"
scripts/analysis/finite_element_analysis.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,6.36,"json, re, pathlib, networkx, matplotlib"
scripts/analysis/finite-element-sphere-analysis.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,6.32,"sys, typing, json, math, scipy"
scripts/analysis/tool-validation.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.96,
scripts/analysis/extended-mcp-ecosystem.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.76,
scripts/analysis/loose_files_audit_finite_element_analysis.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.76,
scripts/analysis/final-verification.py,python_utilities,critical,click,migrate_to_cli_frameworks,10.0,"pathlib, os"
scripts/analysis/debug-use-cases.py,python_utilities,critical,click,migrate_to_cli_frameworks,10.0,"sys, json, datetime, pathlib, os"
scripts/analysis/fea-spherical-model.py,python_utilities,critical,click,migrate_to_cli_frameworks,7.06,"sys, typing, dataclasses, json, mpl_toolkits"
scripts/analysis/audit_loose_files.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,4.88,"typing, json, pathlib, time, os"
scripts/analysis/finite_element_analysis.py,python_utilities,high,click,migrate_to_cli_frameworks,6.36,"json, re, pathlib, networkx, matplotlib"
scripts/1password-setup/comprehensive-tool-ecosystem-installer.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.9,npm
scripts/1password-setup/1password-post-auth-setup.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.56,
scripts/1password-setup/ollama-mcp-llm-judge-evaluation-framework.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.22,
scripts/1password-setup/1password-debug-setup.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.48,
scripts/1password-setup/1password-comprehensive-debug-continue.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,8.36,
scripts/1password-setup/1password-final-setup.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.16,
scripts/1password-setup/1password-enterprise-implementation.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.3,
scripts/1password-setup/1password-status-check.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,8.46,
scripts/1password-setup/1password-final-completion-guide.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.32,
scripts/1password-setup/loose_files_audit_finite_element_analysis.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.34,
scripts/1password-setup/1password-auth-helper.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.26,
scripts/1password-setup/comprehensive_violations_fix.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.44,
scripts/1password-setup/1password-mcp-evaluation-oss-gpt.md,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.2,
scripts/debugging/debug_audit.sh.backup,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.78,"npm, npm, npm, yarn, yarn"
scripts/debugging/debug_cursor_shell.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.14,
scripts/debugging/cursor_debug_instrumentation.js,node_utilities,high,npm scripts,migrate_to_npm_scripts,4.9,
scripts/debugging/fix_cursor_mcp.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.6,
scripts/debugging/comprehensive_debug_analysis.py,python_utilities,high,click,migrate_to_cli_frameworks,6.34,"sys, platform, psutil, json, subprocess"
scripts/debugging/debug_cursor_issues.py,python_utilities,high,click,migrate_to_cli_frameworks,5.34,"sys, json, subprocess, requests, pathlib"
scripts/debugging/run_outside_sandbox.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.88,"curl, wget, npm"
scripts/debugging/critical_fixes.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,5.76,"sys, json, subprocess, pathlib, shutil"
scripts/debugging/run_outside_sandbox.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.8,"curl, wget, npm"
scripts/debugging/critical_fixes.py,python_utilities,high,click,migrate_to_cli_frameworks,5.74,"sys, json, subprocess, pathlib, shutil"
scripts/debugging/debug_simple.sh.backup,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,9.3,"curl, git, git, git"
scripts/debugging/comprehensive_debug_analysis.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,6.36,"sys, platform, psutil, json, subprocess"
scripts/debugging/debug_cursor_shell.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.2,
scripts/debugging/debug_cursor_ide.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,2.56,
scripts/debugging/fix_cursor_mcp.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.56,
scripts/debugging/debug_audit.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.8,"npm, npm, npm, yarn, yarn"
scripts/debugging/cursor_debug_instrumentation.js.backup,node_utilities,high,npm scripts,migrate_to_npm_scripts,5.92,
scripts/debugging/debug_simple.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,9.22,"curl, git, git, git"
scripts/debugging/debug_cursor_issues.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,5.36,"sys, json, subprocess, requests, pathlib"
scripts/setup/ultimate-integration-orchestrator.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.72,
scripts/setup/chezmoi_comprehensive_audit.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.5,git
scripts/setup/install_all_tools.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.48,
scripts/setup/install_remaining_tools.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,9.26,"npm, npm, npm"
scripts/setup/vendor-cli-only-fix.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,2.88,"curl, curl, git, git, git"
scripts/setup/install_priority_tools.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,2.92,"python, npm, npm, npm, npm"
scripts/setup/containerization-setup.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.54,
scripts/setup/master-ai-agency-setup.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.96,
scripts/setup/setup_20_mcp_servers.sh.backup,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.16,npm
scripts/setup/setup_shell_tools.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,8.78,
scripts/setup/install_all_missing_tools.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.62,
scripts/setup/20-real-world-use-cases-implementation.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.9,python
scripts/setup/mcp-server-authentication.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.12,
scripts/setup/fix_environment.py,python_utilities,critical,click,migrate_to_cli_frameworks,8.5,"sys, subprocess, pathlib, shutil, os"
scripts/setup/fix-everything-now.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.24,
scripts/setup/fixed-use-cases-implementation.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.5,
scripts/setup/setup_mcp_expansion.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.96,npm
scripts/setup/infrastructure-setup.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.74,"docker, docker"
scripts/setup/network-proxy-setup.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.34,
scripts/setup/setup_polyglot_integration.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.16,
scripts/setup/database-integration-setup.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.36,npm
scripts/setup/fix-hardcoded-paths.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.51,
scripts/setup/install_phase2_tools.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.24,"npm, npm, npm, python, npm"
scripts/setup/master-ai-agency-setup.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.96,
scripts/setup/polyglot-tool-integration.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.24,git
scripts/setup/fix_environment.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,9.36,curl
scripts/setup/setup_20_mcp_servers.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.16,npm
scripts/setup/comprehensive-ai-agency-setup.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.2,"npm, npm, npm"
scripts/setup/install_development_tools.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,8.72,"npm, npm, curl, curl, curl"
scripts/setup/tool-validation.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.96,
scripts/setup/extended-mcp-ecosystem.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.76,
scripts/setup/setup_polyglot_integration.sh.backup,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.16,
scripts/setup/database-integration-setup.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.36,npm
scripts/user-root-cleanup/ml-adr-codebase-analysis.py,python_utilities,critical,click,migrate_to_cli_frameworks,7.7,"sys, typing, transformers, json, re"
scripts/testing/simple_smoke_tests.py.backup,python_utilities,critical,click,migrate_to_cli_frameworks,9.18,"sys, json, subprocess, pathlib, time"
scripts/testing/api_smoke_tests.py,python_utilities,high,click,migrate_to_cli_frameworks,6.48,"sys, typing, psycopg2, json, redis"
scripts/testing/api_smoke_tests.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,6.48,"sys, typing, psycopg2, json, redis"
scripts/testing/simple_smoke_tests.py,python_utilities,critical,click,migrate_to_cli_frameworks,9.18,"sys, json, subprocess, pathlib, time"
scripts/orchestration/event-driven-orchestrator.py,python_utilities,critical,click,migrate_to_cli_frameworks,8.34,"typing, json, mlflow, deepeval, subprocess"
scripts/orchestration/golden-path-setup.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.6,
scripts/automation/ultimate-integration-orchestrator.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.72,
scripts/automation/test-opencode-auth.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,2.62,
scripts/automation/adr-architecture-organizer.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.2,
scripts/automation/comprehensive-adr-implementation.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.52,
scripts/automation/comprehensive_fixes.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.92,
scripts/automation/mcp-orchestrator.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.94,"npm, npm, npm"
scripts/automation/fix-everything-now.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.24,
scripts/automation/fix-hardcoded-paths.sh.backup,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.51,
scripts/automation/check_mcp_health.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.95,curl
scripts/automation/finite_element_gap_analysis.py,python_utilities,critical,click,migrate_to_cli_frameworks,8.12,"sys, typing, json, subprocess, pathlib"
scripts/automation/mcp-launcher.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.9,
scripts/automation/comprehensive-adr-implementation.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.54,
scripts/automation/finite_element_gap_analysis.py.backup,python_utilities,critical,click,migrate_to_cli_frameworks,8.66,"sys, typing, json, subprocess, pathlib"
scripts/automation/fix-hardcoded-paths.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.56,
scripts/automation/comprehensive-cleanup-audit.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.48,
scripts/automation/launch_agi_core.sh.backup,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,2.09,
scripts/automation/core-tool-integration.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.26,
scripts/automation/mcp-orchestrator.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.94,"npm, npm, npm"
scripts/automation/comprehensive_fix_script.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.54,"node, npm"
scripts/automation/comprehensive_rule_audit_integration.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,2.36,
scripts/automation/audit_and_cleanup_loose_files.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.04,
scripts/automation/test-opencode-mcp-integration.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.18,
scripts/automation/launch_agi_core.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,2.12,
scripts/automation/final_comprehensive_fix.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.16,"npm, npm, npm, docker"
scripts/automation/comprehensive-cleanup-audit.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.5,
scripts/automation/opencode-session-manager.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.98,
scripts/automation/ultimate-integration-orchestrator.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.2,
scripts/automation/demo-opencode-mcp-integration.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.22,
scripts/automation/final_comprehensive_fix.sh.backup,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.26,"npm, npm, npm, docker"
scripts/monitoring/agi_monitor.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.83,curl
scripts/monitoring/agi_monitor.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.78,curl
scripts/monitoring/monitor-mcp-servers.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.04,"npm, npm"
use-case-1-ecommerce-personalization/setup-ecommerce-engine.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.24,
infrastructure/deployment/setup_mcp_servers.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.04,"npm, npm, node, npm, npm"
infrastructure/deployment/setup_mcp_pnpm.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.58,npm
infrastructure/deployment/event_driven_orchestrator.sh.backup,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.44,
infrastructure/deployment/setup_mcp_servers.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.04,"npm, npm, node, npm, npm"
infrastructure/deployment/setup_mcp_pnpm.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.58,npm
infrastructure/deployment/event_driven_orchestrator.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.44,
infrastructure/deployment/setup_cron_jobs.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.34,
infrastructure/deployment/setup_cron_jobs.sh.backup,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.34,
venv311/lib/python3.11/site-packages/websocket/_wsdump.py,python_utilities,critical,click,migrate_to_cli_frameworks,8.32,"sys, urllib, threading, argparse, code"
venv311/lib/python3.11/site-packages/bleach/_vendor/vendor_install.sh,shell_scripts,low,npm scripts,migrate_to_vendor_task_runners,1.0,curl
venv311/lib/python3.11/site-packages/debugpy/_vendored/pydevd/pydevd_attach_to_process/linux_and_mac/compile_mac.sh,shell_scripts,low,npm scripts,migrate_to_vendor_task_runners,1.0,
venv311/lib/python3.11/site-packages/debugpy/_vendored/pydevd/_pydevd_frame_eval/vendored/bytecode/tests/test_concrete.py,python_utilities,high,click,migrate_to_cli_frameworks,6.34,"sys, tests_python, pytest, _pydevd_frame_eval, textwrap"
venv311/lib/python3.11/site-packages/debugpy/_vendored/pydevd/_pydevd_frame_eval/vendored/bytecode/tests/test_instr.py,python_utilities,critical,click,migrate_to_cli_frameworks,8.62,"tests_python, pytest, _pydevd_frame_eval, unittest, opcode"
venv311/lib/python3.11/site-packages/debugpy/_vendored/pydevd/_pydevd_frame_eval/vendored/bytecode/tests/test_misc.py,python_utilities,critical,click,migrate_to_cli_frameworks,9.32,"sys, contextlib, tests_python, pytest, _pydevd_frame_eval"
venv311/lib/python3.11/site-packages/debugpy/_vendored/pydevd/_pydevd_frame_eval/vendored/bytecode/tests/test_cfg.py,python_utilities,critical,click,migrate_to_cli_frameworks,7.94,"sys, contextlib, tests_python, pytest, _pydevd_frame_eval"
venv311/lib/python3.11/site-packages/debugpy/_vendored/pydevd/_pydevd_frame_eval/vendored/bytecode/tests/test_bytecode.py,python_utilities,high,click,migrate_to_cli_frameworks,6.02,"sys, tests_python, pytest, _pydevd_frame_eval, textwrap"
venv311/lib/python3.11/site-packages/debugpy/_vendored/pydevd/_pydevd_frame_eval/vendored/bytecode/tests/test_flags.py,python_utilities,high,click,migrate_to_cli_frameworks,5.24,"tests_python, pytest, unittest, _pydevd_frame_eval"
venv311/lib/python3.11/site-packages/torchvision/transforms/_transforms_video.py,python_utilities,critical,click,migrate_to_cli_frameworks,9.1,"random, warnings, numbers, torchvision"
venv311/lib/python3.11/site-packages/torch/_appdirs.py,python_utilities,medium,click,migrate_to_cli_frameworks,2.98,
venv311/lib/python3.11/site-packages/torch/distributed/logging_handlers.py,python_utilities,low,click,migrate_to_cli_frameworks,0.9,logging
venv311/lib/python3.11/site-packages/torch/distributed/run.py,python_utilities,medium,click,migrate_to_cli_frameworks,2.88,
venv311/lib/python3.11/site-packages/torch/distributed/argparse_util.py,python_utilities,high,click,migrate_to_cli_frameworks,5.56,"os, argparse"
venv311/lib/python3.11/site-packages/torch/distributed/c10d_logger.py,python_utilities,high,click,migrate_to_cli_frameworks,6.22,"typing, typing_extensions, logging, functools, torch"
venv311/lib/python3.11/site-packages/torch/distributed/collective_utils.py,python_utilities,critical,click,migrate_to_cli_frameworks,8.98,"__future__, typing, dataclasses, importlib, logging"
venv311/lib/python3.11/site-packages/torch/distributed/launcher/api.py,python_utilities,critical,click,migrate_to_cli_frameworks,8.26,"typing, sys, uuid, dataclasses, torch"
venv311/lib/python3.11/site-packages/torch/distributed/elastic/metrics/api.py,python_utilities,critical,click,migrate_to_cli_frameworks,9.42,"typing, abc, typing_extensions, time, functools"
venv311/lib/python3.11/site-packages/torch/distributed/elastic/rendezvous/etcd_rendezvous.py,python_utilities,high,click,migrate_to_cli_frameworks,6.42,"sys, typing, threading, json, time"
venv311/lib/python3.11/site-packages/torch/distributed/elastic/rendezvous/etcd_server.py,python_utilities,high,click,migrate_to_cli_frameworks,6.52,"typing, tempfile, socket, atexit, shutil"
